event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
The AI Shift in B2C | From User Experience to Operational Decisions,Luma,AI,Meetup,20-06-2025,Bengalore,,https://lu.ma/fqrhf805,
Agara Walks & Filter Kaapi - All Things Health | Global GTM for HealthTech Startups & AI in Health,Luma,"AI, GTM, Startup",Meetup,21-06-2025,Bengalore,,https://lu.ma/dbiihmyw,
AI Day Bengaluru,Luma,AI,Meetup,21-06-2025,Bengalore,,https://lu.ma/acvb1fkb,
VIBE-ATHON: Where AI Meets Firebase Magic ⚡,Luma,AI,Meetup,21-06-2025,Bengalore,,https://lu.ma/y1arivc5,
Build Your Own DailySync Agent,Luma,AI,Meetup,21-06-2025,Bengalore,,https://lu.ma/lwl5dh24,
Finders Market,Luma,General Tech,Meetup,21-06-2025,Bengalore,,https://lu.ma/4z3xdnlu,
Be with BitGo: Aspiring Engineers Meetup,Luma,General Tech,Meetup,21-06-2025,Bengalore,,https://lu.ma/5xd38txc,
💌 Letters to Strangers,Luma,General Tech,Meetup,21-06-2025,Bengalore,,https://lu.ma/0q5bj8tt,
Moonshot Mixers - AI x Health (Powered by THC),Luma,AI,Meetup,21-06-2025,Bengalore,,https://lu.ma/onbbaax5,
SidebySide with Pride | Pride Fair & Drag Show,Luma,AI,Meetup,24-06-2025,Bengalore,,https://lu.ma/3kuinlxe,
The Startup Ecosystem Meetup By CEDAT,Luma,Startup,Meetup,24-06-2025,Bengalore,,https://lu.ma/y4epewut,
Deloitte Tohmatsu Morning Pitch India - Health & Lifestyle,Luma,Startup,Meetup,26-06-2025,Bengalore,,https://lu.ma/b65wqn56,
-1 To Whatfix with Vara Kumar Namburu,Luma,General Tech,Meetup,26-06-2025,Bengalore,,https://lu.ma/xpteotg4,
Namma Bengaluru Entrepreneurs Meetup By CEDAT,Luma,General Tech,Meetup,27-06-2025,Bengalore,,https://lu.ma/xuwn170s,
"Startup Mixer – Connect, Collaborate, and Grow!",Luma,Startup,Meetup,28-06-2025,Bengalore,,https://lu.ma/4onlm8ms,
Women in AI: Where Do We Fit in AI?,Luma,AI,Meetup,28-06-2025,Bengalore,,https://lu.ma/v82dm8yw,
GenAI Connect!,Luma,AI,Meetup,28-06-2025,Bengalore,,https://lu.ma/we9oa8ye,
Women Founders Club,Luma,Startup,Meetup,28-06-2025,Bengalore,,https://lu.ma/b78th7lb,
ClimateConnect Careers Mixer hosted by the Global Shapers BLR Community,Luma,General Tech,Meetup,29-06-2025,Bengalore,,https://lu.ma/r6cjzj0d,
Agentic Summit  BLR - Bring Your Own Agent,Luma,General Tech,Meetup,02-07-2025,Bengalore,,https://lu.ma/geqzcvrc,
"Career Orbit – One Orbit. Infinite Possibilities.         Connecting Students, Graduates, and Job Seekers to Infinite Career Opportunities!",Luma,General Tech,Meetup,05-07-2025,Bengalore,,https://lu.ma/4a88bqnm,
Poha-Jalebi Club,Luma,General Tech,Meetup,06-07-2025,Bengalore,,https://lu.ma/d2up1uie,
Summer Party 🔥,Luma,General Tech,Meetup,12-07-2025,Bengalore,,https://lu.ma/rj21285t,
Founder Networking Mixer | Coffee with Founders,Luma,Startup,Meetup,12-07-2025,Bengalore,,https://lu.ma/fcstitwl,
"AIGents of Change #4: Media, Authorship & AI",Luma,AI,Meetup,20-06-2025,Singapore,,https://lu.ma/vynb9gp5,
Rise & Walk - Saturday June 21st @Henderson Waves 🌿,Luma,General,Meetup,21-06-2025,Singapore,,https://lu.ma/gk1ezao7,
