event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
LaunchHacks IV,Devpost,"Beginner Friendly, Education, Open Ended",Hackathon,"Jun 28 - Jul 01, 2025",Online,LaunchHacks,https://launchhacks-iv.devpost.com/?ref_feature=challenge&ref_medium=discover,
United Hacks V5,Devpost,"Beginner Friendly, Open Ended, Social Good",Hackathon,"Jul 11 - 13, 2025",Online,Hack United,https://unitedhacksv5.devpost.com/?ref_feature=challenge&ref_medium=discover,
NextStep Hacks 2025,Devpost,"Beginner Friendly, Social Good, Machine Learning/AI",Hackathon,"Jul 11 - 14, 2025",Online,HackAlphaX,https://nextstep2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Proof of Concept,Devpost,"Beginner Friendly, Machine Learning/AI, Mobile",Hackathon,"Jun 26 - Aug 21, 2025",Online,XION,https://proofofconcept.devpost.com/?ref_feature=challenge&ref_medium=discover,
HackVortex Codestorm 5,Devpost,"Beginner Friendly, Health, Machine Learning/AI",Hackathon,"Aug 08 - 17, 2025",Online,HackVortex,https://hackvortex-codestorm-5.devpost.com/?ref_feature=challenge&ref_medium=discover,
DevNetwork [API + Cloud + Data] Hackathon 2025,Devpost,"IoT, Low/No Code, Machine Learning/AI",Hackathon,"Aug 17 - Sep 05, 2025",Santa Clara Convention Center & Online,DevNetwork,https://devnetwork--api-cloud-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Maximally Startup Makeathon,Devpost,"Machine Learning/AI, Education, Low/No Code",Hackathon,"Jul 01 - 06, 2025",Online,maximally.in,https://maximally-makeathon-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Code4Hope Hackathon 2025: Round 1,Devpost,"Beginner Friendly, Machine Learning/AI, Social Good",Hackathon,"Jun 27 - 29, 2025",Online,Code4Hope,https://c4h2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Ghana AI Hackathon Presented by Bridge Labs,Devpost,Machine Learning/AI,Hackathon,"Jun 30 - Jul 20, 2025","Accra, Ghana",Bridge Labs,https://ghana-ai-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover,
DevNetwork [API + Cloud + Data] Hackathon 2025,Devpost,"IoT, Low/No Code, Machine Learning/AI",Hackathon,"Aug 17 - Sep 05, 2025",Santa Clara Convention Center & Online,DevNetwork,https://devnetwork--api-cloud-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
?? LIVE AI Best Coast 2025,Devpost,"Blockchain, Fintech, Machine Learning/AI",Hackathon,"Nov 07 - 09, 2025",David Geffen School of Medicine at UCLA,Tech Tree Root,https://liveai-bestcoast-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Silicon Valley Hacks,Devpost,"Databases, Education, Web",Hackathon,"Aug 23 - 24, 2025",No location yet,hackclub,https://silicon-valley-hacks.devpost.com/?ref_feature=challenge&ref_medium=discover,
757 Build Weekend 2025,Devpost,"Beginner Friendly, Mobile, Web",Hackathon,"Jun 27 - 29, 2025",Assembly Norfolk,Assembly,https://757-build-weekend-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
vsHacks 2025,Devpost,"Beginner Friendly, IoT, Web",Hackathon,"Jul 12 - 13, 2025",University Hill Secondary School,vsHacks,https://vshacks-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Code Crush,Devpost,"Beginner Friendly, Gaming, Web",Hackathon,"Jun 21 - 22, 2025",Brambleton Library,Metal Magic,https://code-crush.devpost.com/?ref_feature=challenge&ref_medium=discover,
Proof of Concept,Devpost,"Beginner Friendly, Machine Learning/AI, Mobile",Hackathon,"Jun 26 - Aug 21, 2025",Online,XION,https://proofofconcept.devpost.com/?ref_feature=challenge&ref_medium=discover,
AI Bias Bounty Hackathon,Devpost,"Cybersecurity, Machine Learning/AI, Beginner Friendly",Hackathon,"Jun 28 - Jul 03, 2025",Online,Hackthefest,https://ai-bias-bounty-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover,
No More Cyber Bullying!,Devpost,"Beginner Friendly, Cybersecurity, Machine Learning/AI",Hackathon,"Jun 30 - Oct 30, 2025","Surrey, United Kingdom",fill_this_later,https://no-more-cyberbullying.devpost.com/?ref_feature=challenge&ref_medium=discover,
