event_title,platform,event_type,event_date,location,speakers_orgs,topic_tags,url,audience_segment
LaunchHacks IV,Devpost,Hackathon,28-06-2025,Online,LaunchHacks,"Beginner Friendly, Education, Open Ended",https://launchhacks-iv.devpost.com/?ref_feature=challenge&ref_medium=discover,
United Hacks V5,Devpost,Hackathon,11-07-2025,Online,Hack United,"Beginner Friendly, Open Ended, Social Good",https://unitedhacksv5.devpost.com/?ref_feature=challenge&ref_medium=discover,
NextStep Hacks 2025,Devpost,Hackathon,11-07-2025,Online,HackAlphaX,"Beginner Friendly, Social Good, Machine Learning/AI",https://nextstep2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Proof of Concept,Devpost,Hackathon,26-06-2025,Online,XION,"Beginner Friendly, Machine Learning/AI, Mobile",https://proofofconcept.devpost.com/?ref_feature=challenge&ref_medium=discover,
HackVortex Codestorm 5,Devpost,Hackathon,08-08-2025,Online,HackVortex,"Beginner Friendly, Health, Machine Learning/AI",https://hackvortex-codestorm-5.devpost.com/?ref_feature=challenge&ref_medium=discover,
DevNetwork [API + Cloud + Data] Hackathon 2025,Devpost,Hackathon,17-08-2025,Online,DevNetwork,"IoT, Low/No Code, Machine Learning/AI",https://devnetwork--api-cloud-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Maximally Startup Makeathon,Devpost,Hackathon,01-07-2025,Online,maximally.in,"Machine Learning/AI, Education, Low/No Code",https://maximally-makeathon-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Code4Hope Hackathon 2025: Round 1,Devpost,Hackathon,27-06-2025,Online,Code4Hope,"Beginner Friendly, Machine Learning/AI, Social Good",https://c4h2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Ghana AI Hackathon Presented by Bridge Labs,Devpost,Hackathon,30-06-2025,"Accra, Ghana",Bridge Labs,Machine Learning/AI,https://ghana-ai-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover,
DevNetwork [API + Cloud + Data] Hackathon 2025,Devpost,Hackathon,17-08-2025,Santa Clara Convention Center & Online,DevNetwork,"IoT, Low/No Code, Machine Learning/AI",https://devnetwork--api-cloud-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
?? LIVE AI Best Coast 2025,Devpost,Hackathon,07-11-2025,David Geffen School of Medicine at UCLA,Tech Tree Root,"Blockchain, Fintech, Machine Learning/AI",https://liveai-bestcoast-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Silicon Valley Hacks,Devpost,Hackathon,23-08-2025,No location yet,hackclub,"Databases, Education, Web",https://silicon-valley-hacks.devpost.com/?ref_feature=challenge&ref_medium=discover,
757 Build Weekend 2025,Devpost,Hackathon,27-06-2025,Assembly Norfolk,Assembly,"Beginner Friendly, Mobile, Web",https://757-build-weekend-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
vsHacks 2025,Devpost,Hackathon,12-07-2025,University Hill Secondary School,vsHacks,"Beginner Friendly, IoT, Web",https://vshacks-2025.devpost.com/?ref_feature=challenge&ref_medium=discover,
Code Crush,Devpost,Hackathon,21-06-2025,Brambleton Library,Metal Magic,"Beginner Friendly, Gaming, Web",https://code-crush.devpost.com/?ref_feature=challenge&ref_medium=discover,
Proof of Concept,Devpost,Hackathon,26-06-2025,Online,XION,"Beginner Friendly, Machine Learning/AI, Mobile",https://proofofconcept.devpost.com/?ref_feature=challenge&ref_medium=discover,
AI Bias Bounty Hackathon,Devpost,Hackathon,28-06-2025,Online,Hackthefest,"Cybersecurity, Machine Learning/AI, Beginner Friendly",https://ai-bias-bounty-hackathon.devpost.com/?ref_feature=challenge&ref_medium=discover,
No More Cyber Bullying!,Devpost,Hackathon,30-06-2025,"Surrey, United Kingdom",fill_this_later,"Beginner Friendly, Cybersecurity, Machine Learning/AI",https://no-more-cyberbullying.devpost.com/?ref_feature=challenge&ref_medium=discover,
