event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
The AI Shift in B2C | From User Experience to Operational Decisions,Luma,,Meetup,20-06-2025,Bangalore,Shraddha Patil,https://lu.ma/fqrhf805,
Agara Walks & Filter Kaapi - All Things Health | Global GTM for HealthTech Startups & AI in Health,Luma,,Meetup,21-06-2025,Bangalore,Srikanth Prabhu,https://lu.ma/dbiihmyw,
AI Day Bengaluru,Luma,,Meetup,21-06-2025,Bangalore,E2E Networks Limited,https://lu.ma/acvb1fkb,
VIBE-ATHON: Where AI Meets Firebase Magic ⚡,Luma,,Meetup,21-06-2025,Bangalore,Joinal Ahmed,https://lu.ma/y1arivc5,
Build Your Own DailySync Agent,Luma,,Meetup,21-06-2025,Bangalore,Shubham Mittal,https://lu.ma/lwl5dh24,
Finders Market,Luma,,Meetup,21-06-2025,Bangalore,Saksham,https://lu.ma/4z3xdnlu,
Be with BitGo: Aspiring Engineers Meetup,Luma,,Meetup,21-06-2025,Bangalore,Nikhil Bhima,https://lu.ma/5xd38txc,
💌 Letters to Strangers,Luma,,Meetup,21-06-2025,Bangalore,Palak Malik,https://lu.ma/0q5bj8tt,
Moonshot Mixers - AI x Health (Powered by THC),Luma,,Meetup,21-06-2025,Bangalore,Saurav Gopal,https://lu.ma/onbbaax5,
SidebySide with Pride | Pride Fair & Drag Show,Luma,,Meetup,24-06-2025,Bangalore,Aadhyyaa Anish Sood,https://lu.ma/3kuinlxe,
The Startup Ecosystem Meetup By CEDAT,Luma,,Meetup,24-06-2025,Bangalore,Akash Akku,https://lu.ma/y4epewut,
Deloitte Tohmatsu Morning Pitch India - Health & Lifestyle,Luma,,Meetup,26-06-2025,Bangalore,Morning Pitch Asia,https://lu.ma/b65wqn56,
-1 To Whatfix with Vara Kumar Namburu,Luma,,Meetup,26-06-2025,Bangalore,?Vara Kumar,https://lu.ma/xpteotg4,
Namma Bengaluru Entrepreneurs Meetup By CEDAT,Luma,,Meetup,27-06-2025,Bangalore,Akash Akku,https://lu.ma/xuwn170s,
"Startup Mixer – Connect, Collaborate, and Grow!",Luma,,Meetup,28-06-2025,Bangalore,Startup Synerz,https://lu.ma/4onlm8ms,
Women in AI: Where Do We Fit in AI?,Luma,,Meetup,28-06-2025,Bangalore,Women in Product,https://lu.ma/v82dm8yw,
GenAI Connect!,Luma,,Meetup,28-06-2025,Bangalore,Pavan Belagatti,https://lu.ma/we9oa8ye,
Women Founders Club,Luma,,Meetup,28-06-2025,Bangalore,Zohra,https://lu.ma/b78th7lb,
ClimateConnect Careers Mixer hosted by the Global Shapers BLR Community,Luma,,Meetup,29-06-2025,Bangalore,Global Shapers Bengaluru I Hub,https://lu.ma/r6cjzj0d,
Agentic Summit  BLR - Bring Your Own Agent,Luma,,Meetup,02-07-2025,Bangalore,Vikram Bhandari,https://lu.ma/geqzcvrc,
