event_title,platform,event_type,event_date,location,speakers_orgs,topic_tags,url,audience_segment
STARTUP EXPO 2025,AllEvents,Business Summit,12-07-2025,"White Feather, PESU ECC Main Road, opposite metro wholesale &, Electronics City Phase 1, Electronic City, Beratena Agrahara, Bengaluru, Karnataka, India",Inspired participants,Innovation,https://allevents.in/bangalore/startup-expo-2025-tickets/80001484564638,Founders
VIBE Summit '25,AllEvents,Business Summit,11-07-2025,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,VIBE Summi members,Innovation,https://allevents.in/bangalore/vibe-summit-25-tickets/80004758526332,Business Audience
INDIA RETAIL INVESTORS EXPO & CONFERENCE 2025,AllEvents,Business Summit,12-10-2025,KARNATAKA TRADE PROMOTION ORGANISATION,Inspired participants,AI,https://allevents.in/bangalore/india-retail-investors-expo-and-conference-2025-tickets/80003385051081,Business Audience
Startup Investors Forum Bengaluru 2025,AllEvents,Business Summit,28-06-2025,2gethr @ Orr,Inspired participants,Startup,https://allevents.in/bangalore/startup-investors-forum-bengaluru-2025-tickets/80002427870570,Founders
CAPITAL CONNECT - BANGALORE,AllEvents,Business Summit,21-06-2025,ICB INDIAN CRAFT BREWERY,Inspired participants,General,https://allevents.in/bangalore/capital-connect-bangalore-tickets/80003184786886,Business Audience
Founders Meet | Bengaluru | June 27,AllEvents,Business Summit,27-06-2025,Fortius Origin,Inspired participants,General,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,Founders
MEWAR YOUTH CONCLAVE,AllEvents,Business Summit,22-06-2025,Princess Golf,Inspired participants,General,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,Business Audience
VIBE SUMMIT 2025 FOR ENTERPRISES,AllEvents,Business Summit,11-07-2025,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,Inspired participants,Innovation,https://allevents.in/bangalore/vibe-summit-2025-for-enterprises-tickets/80006221693518,Business Audience
Test Automation Summit | Bangalore| 2025,AllEvents,Business Summit,27-06-2025,Bengaluru,"Industry leaders, pioneers",Innovation,https://allevents.in/bengaluru/test-automation-summit-|-bangalore|-2025/100001280571607149,Business Audience
MEWAR KE SITARE,AllEvents,Business Summit,22-06-2025,Princess Golf,Inspired participants,General,https://allevents.in/bangalore/mewar-ke-sitare/80002698819594,Business Audience
Bangalore: Business Networking Meetup Exclusive - pre-event for Startup Summit,AllEvents,Business Summit,04-08-2025,Bangalore,Inspired participants,Innovation,https://allevents.in/bangalore/bangalore-business-networking-meetup-exclusive-pre-event-for-startup-summit-tickets/80001122573405,Founders
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,Business Summit,05-08-2025,to beupdated,Inspired participants,General,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,Developers
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,Business Summit,29-06-2025,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",Inspired participants,AI,https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,Business Audience
Caridia's Private Dinner - for the Emotionally Fluent & Intellectually Curious,AllEvents,Business Summit,26-06-2025,Loco Bear - The Ultimate Entertainment Hub,Inspired participants,General,https://allevents.in/bangalore/caridias-private-dinner-for-the-emotionally-fluent-and-intellectually-curious-tickets/80002925484004,Business Audience
Personal finance and networking meetup,AllEvents,Business Summit,05-07-2025,Starbucks,Inspired participants,Business,https://allevents.in/bangalore/personal-finance-and-networking-meetup-tickets/80003589964214,Business Audience
Bengaluru Founders Breakfast Club 2025,AllEvents,Business Summit,21-06-2025,Nanav Cafe,Inspired participants,General,https://allevents.in/bangalore/bengaluru-founders-breakfast-club-2025-tickets/80009496642063,Founders
MEWAR YOUTH CONCLAVE,AllEvents,Business Summit,22-06-2025,Princess Golf,Inspired participants,General,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,Business Audience
Ecommerce Events & Conferences - E-commerce & Digital Natives Summit 2025,AllEvents,Business Summit,27-06-2025,Conrad Bengaluru,Inspired participants,Innovation,https://allevents.in/bangalore/ecommerce-events-and-conferences-e-commerce-and-digital-natives-summit-2025/80001910021716,Business Audience
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,Business Summit,29-06-2025,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India","Industry leaders, pioneers",AI,https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,Business Audience
Auto show 2025,AllEvents,Business Summit,21-09-2025,Tripura Vasini White Petals,Inspired participants,General,https://allevents.in/bangalore/auto-show-2025-tickets/80002412284819,Business Audience
Mega Wedding Expo-2025,AllEvents,Business Summit,15-08-2025,Tripuravasini,Inspired participants,Innovation,https://allevents.in/bangalore/mega-wedding-expo-2025-tickets/80009050100951,Business Audience
Founders Meet | Bengaluru | June 27,AllEvents,Business Summit,27-06-2025,Fortius Origin,"Industry leaders, pioneers",General,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,Founders
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,Business Summit,05-08-2025,to beupdated,"Industry leaders, pioneers",General,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,Developers
"Bongo Utsav 2.0- Bengaluru @ Gate 9, Palace Ground",AllEvents,Business Summit,03-08-2025,Gate 9 Palace Grounds,Inspired participants,General,https://allevents.in/bangalore/bongo-utsav-20-bengaluru-gate-9-palace-ground/200028072622914,Business Audience
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,Networking,20-06-2025,Sri Ramakrishna Institute of Technology,"Sponsors, Inspired participants",Tech,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,Business Audience
India Intex Expo 2025,AllEvents,Networking,22-06-2025,Codissia Trade Fair Complex,"Industry leaders, pioneers",General,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,Business Audience
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,Networking,20-06-2025,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",Inspired participants,General,https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,Business Audience
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,Networking,28-06-2025,Le Meridien,Inspired participants,Tech,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,Business Audience
INTERIO & EXTERIO EXPO 2025,AllEvents,Networking,10-08-2025,Codissia Trade Fair Centre,Inspired participants,General,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,Business Audience
India Poultry Show 2026,AllEvents,Networking,25-01-2025,Codissia Trade Fair Complex,Inspired participants,General,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,Business Audience
TOPLAST - Total Plastics Exhibition,AllEvents,Networking,03-08-2025,Codissia Trade Centre,Inspired participants,General,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,Business Audience
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,Networking,04-07-2025,Codissia Trade Fair Complex,Inspired participants,General,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,Business Audience
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,Networking,04-07-2025,Codissia Trade Fair Complex,Inspired participants,General,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,Business Audience
Diwali Shopping Expo,AllEvents,Networking,19-10-2025,Ukkadam lake view,Inspired participants,General,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,Business Audience
GO GLAM SHOPPING EXHIBITION,AllEvents,Networking,27-07-2025,Suguna Kalyana Mandapam,Inspired participants,General,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,Business Audience
