event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,,Networking,20-06-2025,Sri Ramakrishna Institute of Technology,,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,
India Intex Expo 2025,AllEvents,,Networking,22-06-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,,Networking,20-06-2025,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",,https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,,Networking,28-06-2025,Le Meridien,,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,
INTERIO & EXTERIO EXPO 2025,AllEvents,,Networking,10-08-2025,Codissia Trade Fair Centre,,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,
India Poultry Show 2026,AllEvents,,Networking,25-01-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,
TOPLAST - Total Plastics Exhibition,AllEvents,,Networking,03-08-2025,Codissia Trade Centre,,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,,Networking,04-07-2025,Codissia Trade Fair Complex,,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,
Diwali Shopping Expo,AllEvents,,Networking,19-10-2025,Ukkadam lake view,,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,
GO GLAM SHOPPING EXHIBITION,AllEvents,,Networking,27-07-2025,Suguna Kalyana Mandapam,,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,
WAREMAT - Warehousing Material Handling Storage Logistics Transportation and Supply Chain Expo,AllEvents,,Networking,03-08-2025,"Codissia Trade Fair Complex Road, Coimbatore, India",,https://allevents.in/coimbatore/waremat-warehousing-material-handling-storage-logistics-transportation-and-supply-chain-expo/200028173159342,
