event_title,platform,event_date_raw,location,url,price
STARTUP EXPO 2025,AllEvents,11-12 Jul,"White Feather, PESU ECC Main Road, opposite metro wholesale &, Electronics City Phase 1, Electronic City, Beratena Agrahara, Bengaluru, Karnataka, India",https://allevents.in/bangalore/startup-expo-2025-tickets/80001484564638,"INR 
									750"
VIBE Summit '25,AllEvents,10-11 Jul,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,https://allevents.in/bangalore/vibe-summit-25-tickets/80004758526332,"INR 
									10.0k"
INDIA RETAIL INVESTORS EXPO & CONFERENCE 2025,AllEvents,11-12 Oct,KARNATAKA TRADE PROMOTION ORGANISATION,https://allevents.in/bangalore/india-retail-investors-expo-and-conference-2025-tickets/80003385051081,"INR 
									149"
Startup Investors Forum Bengaluru 2025,AllEvents,"Sat, 28 Jun",2gethr @ Orr,https://allevents.in/bangalore/startup-investors-forum-bengaluru-2025-tickets/80002427870570,"INR 
									475"
CAPITAL CONNECT - BANGALORE,AllEvents,"Sat, 21 Jun",ICB INDIAN CRAFT BREWERY,https://allevents.in/bangalore/capital-connect-bangalore-tickets/80003184786886,"INR 
									1.0k"
Founders Meet | Bengaluru | June 27,AllEvents,"Fri, 27 Jun",Fortius Origin,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,"INR 
									799"
MEWAR YOUTH CONCLAVE,AllEvents,21-22 Jun,Princess Golf,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,Free
VIBE SUMMIT 2025 FOR ENTERPRISES,AllEvents,10-11 Jul,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,https://allevents.in/bangalore/vibe-summit-2025-for-enterprises-tickets/80006221693518,"INR 
									25.0k"
Test Automation Summit | Bangalore| 2025,AllEvents,"Fri, 27 Jun",Bengaluru,https://allevents.in/bengaluru/test-automation-summit-|-bangalore|-2025/100001280571607149,Free
MEWAR KE SITARE,AllEvents,"Sun, 22 Jun",Princess Golf,https://allevents.in/bangalore/mewar-ke-sitare/80002698819594,Free
Bangalore: Business Networking Meetup Exclusive - pre-event for Startup Summit,AllEvents,04 Aug-01 Oct,Bangalore,https://allevents.in/bangalore/bangalore-business-networking-meetup-exclusive-pre-event-for-startup-summit-tickets/80001122573405,Free
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,05 Aug-03 Sep,to beupdated,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,Free
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,28-29 Jun,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,Free
Caridia's Private Dinner - for the Emotionally Fluent & Intellectually Curious,AllEvents,26 Jun Onwards,Loco Bear - The Ultimate Entertainment Hub,https://allevents.in/bangalore/caridias-private-dinner-for-the-emotionally-fluent-and-intellectually-curious-tickets/80002925484004,Free
Personal finance and networking meetup,AllEvents,"Sat, 05 Jul",Starbucks,https://allevents.in/bangalore/personal-finance-and-networking-meetup-tickets/80003589964214,Free
Bengaluru Founders Breakfast Club 2025,AllEvents,"Sat, 21 Jun",Nanav Cafe,https://allevents.in/bangalore/bengaluru-founders-breakfast-club-2025-tickets/80009496642063,"INR 
									1.0k"
MEWAR YOUTH CONCLAVE,AllEvents,21-22 Jun,Princess Golf,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,Free
Ecommerce Events & Conferences - E-commerce & Digital Natives Summit 2025,AllEvents,26-27 Jun,Conrad Bengaluru,https://allevents.in/bangalore/ecommerce-events-and-conferences-e-commerce-and-digital-natives-summit-2025/80001910021716,Free
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,28-29 Jun,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,Free
Auto show 2025,AllEvents,19-21 Sep,Tripura Vasini White Petals,https://allevents.in/bangalore/auto-show-2025-tickets/80002412284819,Free
Mega Wedding Expo-2025,AllEvents,"Fri, 15 Aug",Tripuravasini,https://allevents.in/bangalore/mega-wedding-expo-2025-tickets/80009050100951,Free
Founders Meet | Bengaluru | June 27,AllEvents,"Fri, 27 Jun",Fortius Origin,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,"INR 
									799"
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,05 Aug-03 Sep,to beupdated,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,Free
"Bongo Utsav 2.0- Bengaluru @ Gate 9, Palace Ground",AllEvents,01-03 Aug,Gate 9 Palace Grounds,https://allevents.in/bangalore/bongo-utsav-20-bengaluru-gate-9-palace-ground/200028072622914,Free
AICTE  ISTE Sponsored (NCEE 2025),AllEvents,20 Jun Onwards,Sri Ramakrishna Institute of Technology,https://allevents.in/coimbatore/aicte-iste-sponsored-ncee-2025-tickets/80003416551529,INR 885
India Intex Expo 2025,AllEvents,20-22 Jun,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-intex-expo-2025-tickets/80001727540603,Free
Toastmasters Club - Coimbatore Speakers Forum,AllEvents,20 Jun Onwards,"The Coimbatore Branch Of SIRC of ICAI Bhawan, Diwan Bahadur Road, R.S. Puram, Coimbatore, Tamil Nadu, India",https://allevents.in/coimbatore/toastmasters-club-coimbatore-speakers-forum-tickets/80001991692215,Free
Upcoming Dubai Real Estate Event in Coimbatore Book Your Ticket Free,AllEvents,"Sat, 28 Jun",Le Meridien,https://allevents.in/coimbatore/upcoming-dubai-real-estate-event-in-coimbatore-book-your-ticket-free-tickets/80001102809551,Free
INTERIO & EXTERIO EXPO 2025,AllEvents,08-10 Aug,Codissia Trade Fair Centre,https://allevents.in/coimbatore/interio-and-exterio-expo-2025-tickets/80002366728280,Free
India Poultry Show 2026,AllEvents,23-25 Jan,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-poultry-show-2026-tickets/80006933199582,Free
TOPLAST - Total Plastics Exhibition,AllEvents,01-03 Aug,Codissia Trade Centre,https://allevents.in/coimbatore/toplast-total-plastics-exhibition/200028173158942,Free
INDIA FOOD AND DRINK PROCESSING EXPO 2025,AllEvents,02-04 Jul,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-food-and-drink-processing-expo-2025/3700027829071724,Free
INDIA HORECA EXPO - COIMBATORE 2025,AllEvents,02-04 Jul,Codissia Trade Fair Complex,https://allevents.in/coimbatore/india-horeca-expo-coimbatore-2025/3700027773942820,Free
Diwali Shopping Expo,AllEvents,18-19 Oct,Ukkadam lake view,https://allevents.in/coimbatore/diwali-shopping-expo/80003229030855,Free
GO GLAM SHOPPING EXHIBITION,AllEvents,25-27 Jul,Suguna Kalyana Mandapam,https://allevents.in/coimbatore/go-glam-shopping-exhibition/80001700424473,Free
WAREMAT - Warehousing Material Handling Storage Logistics Transportation and Supply Chain Expo,AllEvents,01-03 Aug,"Codissia Trade Fair Complex Road, Coimbatore, India",https://allevents.in/coimbatore/waremat-warehousing-material-handling-storage-logistics-transportation-and-supply-chain-expo/200028173159342,Free
