event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
The AI Shift in B2C | From User Experience to Operational Decisions,Luma,AI,Meetup,,In-person,,https://lu.ma/fqrhf805,Tech Enthusiasts
Agara Walks & Filter Kaapi - All Things Health | Global GTM for HealthTech Startups & AI in Health,Luma,"AI, GTM, Startup",Meetup,,In-person,,https://lu.ma/dbiihmyw,Founders
AI Day Bengaluru,Luma,AI,Meetup,,In-person,,https://lu.ma/acvb1fkb,Tech Enthusiasts
VIBE-ATHON: Where AI Meets Firebase Magic ⚡,Luma,AI,Meetup,,In-person,,https://lu.ma/y1arivc5,Tech Enthusiasts
Build Your Own DailySync Agent,Luma,AI,Meetup,,In-person,,https://lu.ma/lwl5dh24,Tech Enthusiasts
Finders Market,Luma,General Tech,Meetup,,In-person,,https://lu.ma/4z3xdnlu,Tech Enthusiasts
Be with BitGo: Aspiring Engineers Meetup,Luma,General Tech,Meetup,,In-person,,https://lu.ma/5xd38txc,Developers
💌 Letters to Strangers,Luma,General Tech,Meetup,,In-person,,https://lu.ma/0q5bj8tt,Tech Enthusiasts
Moonshot Mixers - AI x Health (Powered by THC),Luma,AI,Meetup,,In-person,,https://lu.ma/onbbaax5,Tech Enthusiasts
SidebySide with Pride | Pride Fair & Drag Show,Luma,AI,Meetup,,In-person,,https://lu.ma/3kuinlxe,Tech Enthusiasts
The Startup Ecosystem Meetup By CEDAT,Luma,Startup,Meetup,,In-person,,https://lu.ma/y4epewut,Founders
Deloitte Tohmatsu Morning Pitch India - Health & Lifestyle,Luma,Startup,Meetup,,In-person,,https://lu.ma/b65wqn56,Tech Enthusiasts
-1 To Whatfix with Vara Kumar Namburu,Luma,General Tech,Meetup,,In-person,,https://lu.ma/xpteotg4,Tech Enthusiasts
Namma Bengaluru Entrepreneurs Meetup By CEDAT,Luma,General Tech,Meetup,,In-person,,https://lu.ma/xuwn170s,Tech Enthusiasts
"Startup Mixer – Connect, Collaborate, and Grow!",Luma,Startup,Meetup,,In-person,,https://lu.ma/4onlm8ms,Founders
Women in AI: Where Do We Fit in AI?,Luma,AI,Meetup,,In-person,,https://lu.ma/v82dm8yw,Tech Enthusiasts
GenAI Connect!,Luma,AI,Meetup,,In-person,,https://lu.ma/we9oa8ye,Tech Enthusiasts
Women Founders Club,Luma,Startup,Meetup,,In-person,,https://lu.ma/b78th7lb,Founders
ClimateConnect Careers Mixer hosted by the Global Shapers BLR Community,Luma,General Tech,Meetup,,In-person,,https://lu.ma/r6cjzj0d,Tech Enthusiasts
Agentic Summit  BLR - Bring Your Own Agent,Luma,General Tech,Meetup,,In-person,,https://lu.ma/geqzcvrc,Tech Enthusiasts
"Career Orbit – One Orbit. Infinite Possibilities.         Connecting Students, Graduates, and Job Seekers to Infinite Career Opportunities!",Luma,General Tech,Meetup,,In-person,,https://lu.ma/4a88bqnm,Students
Poha-Jalebi Club,Luma,General Tech,Meetup,,In-person,,https://lu.ma/d2up1uie,Tech Enthusiasts
Summer Party 🔥,Luma,General Tech,Meetup,,In-person,,https://lu.ma/rj21285t,Tech Enthusiasts
Founder Networking Mixer | Coffee with Founders,Luma,Startup,Meetup,,In-person,,https://lu.ma/fcstitwl,Founders
