event_title,platform,event_type,event_date,location,url,speakers_orgs,topic_tags,audience_segment
"AIGents of Change #4: Media, Authorship & AI",Luma,,,,https://lu.ma/vynb9gp5,,,
Rise & Walk - Saturday June 21st @Henderson Waves 🌿,Luma,,,,https://lu.ma/gk1ezao7,,,
The Saturday Book Club June 2025 Session,Luma,,,,https://lu.ma/djifk2z0,,,
Women in AI: Idea to working MVP in 2 hours!,Luma,,,,https://lu.ma/yre3ad0m,,,
Conversations on Caregiving: Envisioning the Future of Care Work,Luma,,,,https://lu.ma/4pxgchp4,,,
RW Hour - Wed June 25th,Luma,,,,https://lu.ma/hqtfxq61,,,
Ignition Demo Day,Luma,,,,https://lu.ma/IgnitionWeek_NetworkSchool,,,
AWS Career Launchpad with Trainocate [For Job Seekers],Luma,,,,https://lu.ma/1jw5gmgg,,,
SG ROS @ BLOCK71 Meetup: Humanoids Edition,Luma,,,,https://lu.ma/297oglj1,,,
"Purpose, Told Well: Storytelling for Impact",Luma,,,,https://lu.ma/2wphbx55,,,
Web3 SG Community Networking JUNE EDITION,Luma,,,,https://lu.ma/63lp8x5m,,,
Beyond The Brief,Luma,,,,https://lu.ma/722f49a0,,,
Into Design Systems at DBS Asia X,Luma,,,,https://lu.ma/e67816vu,,,
Onchain Hangouts: Singapore,Luma,,,,https://lu.ma/vecux45i,,,
"Let's Walk, Singapore",Luma,,,,https://lu.ma/6euhve5i,,,
MANUS AI X OOJU XR Hackathon,Luma,,,,https://lu.ma/7ldj1sd1,,,
Art X Stacks—Melisa Teo: Light From Within,Luma,,,,https://lu.ma/0bak1tfj,,,
Pitch & Demo - July 2025,Luma,,,,https://lu.ma/wgb2vgvn,,,
Singapore AI & Data Tech Drinks,Luma,,,,https://lu.ma/xbhj8r7y,,,
SIC Impact Demo Day 2025,Luma,,,,https://lu.ma/19mfxqmq,,,
