event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
"AIGents of Change #4: Media, Authorship & AI",Luma,AI,,,,,https://lu.ma/vynb9gp5,Tech Audience
Rise & Walk - Saturday June 21st @Henderson Waves 🌿,Luma,General,,,,,https://lu.ma/gk1ezao7,Tech Audience
The Saturday Book Club June 2025 Session,Luma,General,,,,,https://lu.ma/djifk2z0,Tech Audience
Women in AI: Idea to working MVP in 2 hours!,Luma,AI,,,,,https://lu.ma/yre3ad0m,Tech Audience
Conversations on Caregiving: Envisioning the Future of Care Work,Luma,General,,,,,https://lu.ma/4pxgchp4,Tech Audience
RW Hour - Wed June 25th,Luma,General,,,,,https://lu.ma/hqtfxq61,Tech Audience
Ignition Demo Day,Luma,General,,,,,https://lu.ma/IgnitionWeek_NetworkSchool,Tech Audience
AWS Career Launchpad with Trainocate [For Job Seekers],Luma,AI,,,,,https://lu.ma/1jw5gmgg,Tech Audience
SG ROS @ BLOCK71 Meetup: Humanoids Edition,Luma,General,,,,,https://lu.ma/297oglj1,Tech Audience
"Purpose, Told Well: Storytelling for Impact",Luma,General,,,,,https://lu.ma/2wphbx55,Tech Audience
Web3 SG Community Networking JUNE EDITION,Luma,Web,,,,,https://lu.ma/63lp8x5m,Tech Audience
Beyond The Brief,Luma,General,,,,,https://lu.ma/722f49a0,Tech Audience
Into Design Systems at DBS Asia X,Luma,UX,,,,,https://lu.ma/e67816vu,Designer
Onchain Hangouts: Singapore,Luma,AI,,,,,https://lu.ma/vecux45i,Tech Audience
"Let's Walk, Singapore",Luma,General,,,,,https://lu.ma/6euhve5i,Tech Audience
MANUS AI X OOJU XR Hackathon,Luma,AI,,,,,https://lu.ma/7ldj1sd1,Tech Audience
Art X Stacks—Melisa Teo: Light From Within,Luma,General,,,,,https://lu.ma/0bak1tfj,Tech Audience
Pitch & Demo - July 2025,Luma,General,,,,,https://lu.ma/wgb2vgvn,Tech Audience
Singapore AI & Data Tech Drinks,Luma,AI,,,,,https://lu.ma/xbhj8r7y,Tech Audience
SIC Impact Demo Day 2025,Luma,General,,,,,https://lu.ma/19mfxqmq,Tech Audience
