event_title,platform,event_type,event_date,location,url,speakers_orgs,topic_tags,audience_segment
"AIGents of Change #4: Media, Authorship & AI",Luma,,,,https://lu.ma/vynb9gp5,,AI,Tech Audience
Rise & Walk - Saturday June 21st @Henderson Waves 🌿,Luma,,,,https://lu.ma/gk1ezao7,,General,Tech Audience
The Saturday Book Club June 2025 Session,Luma,,,,https://lu.ma/djifk2z0,,General,Tech Audience
Women in AI: Idea to working MVP in 2 hours!,Luma,,,,https://lu.ma/yre3ad0m,,AI,Tech Audience
Conversations on Caregiving: Envisioning the Future of Care Work,Luma,,,,https://lu.ma/4pxgchp4,,General,Tech Audience
RW Hour - Wed June 25th,Luma,,,,https://lu.ma/hqtfxq61,,General,Tech Audience
Ignition Demo Day,Luma,,,,https://lu.ma/IgnitionWeek_NetworkSchool,,General,Tech Audience
AWS Career Launchpad with Trainocate [For Job Seekers],Luma,,,,https://lu.ma/1jw5gmgg,,AI,Tech Audience
SG ROS @ BLOCK71 Meetup: Humanoids Edition,Luma,,,,https://lu.ma/297oglj1,,General,Tech Audience
"Purpose, Told Well: Storytelling for Impact",Luma,,,,https://lu.ma/2wphbx55,,General,Tech Audience
Web3 SG Community Networking JUNE EDITION,Luma,,,,https://lu.ma/63lp8x5m,,Web,Tech Audience
Beyond The Brief,Luma,,,,https://lu.ma/722f49a0,,General,Tech Audience
Into Design Systems at DBS Asia X,Luma,,,,https://lu.ma/e67816vu,,UX,Designer
Onchain Hangouts: Singapore,Luma,,,,https://lu.ma/vecux45i,,AI,Tech Audience
"Let's Walk, Singapore",Luma,,,,https://lu.ma/6euhve5i,,General,Tech Audience
MANUS AI X OOJU XR Hackathon,Luma,,,,https://lu.ma/7ldj1sd1,,AI,Tech Audience
Art X Stacks—Melisa Teo: Light From Within,Luma,,,,https://lu.ma/0bak1tfj,,General,Tech Audience
Pitch & Demo - July 2025,Luma,,,,https://lu.ma/wgb2vgvn,,General,Tech Audience
Singapore AI & Data Tech Drinks,Luma,,,,https://lu.ma/xbhj8r7y,,AI,Tech Audience
SIC Impact Demo Day 2025,Luma,,,,https://lu.ma/19mfxqmq,,General,Tech Audience
